,Bleu_1,Bleu_2,Bleu_3,Bleu_4,METEOR,ROUGE_L,CIDEr,SkipThoughtCS,EmbeddingAverageCosineSimilarity,EmbeddingAverageCosineSimilairty,VectorExtremaCosineSimilarity,GreedyMatchingScore
4000,0.0002,1.4e-05,6e-06,4e-06,0.017348,0.0002,0.0005,0.697018027305603,0.582509,0.582509,0.508448,0.850139
15000,0.0,0.0,0.0,0.0,0.025072999999999998,0.0,0.0,0.6730660200119019,0.529561,0.529561,0.443988,0.832434
30000,0.0,0.0,0.0,0.0,0.025223,0.0,0.0,0.7060800194740295,0.5771970000000001,0.5771970000000001,0.493312,0.851834
52000,0.0,0.0,0.0,0.0,0.024696,0.0,0.0,0.7114930152893066,0.588873,0.588873,0.50673,0.854974
56000,0.0,0.0,0.0,0.0,0.027175,0.0,0.0,0.7007309794425964,0.574973,0.574973,0.491203,0.8502430000000001
68000,0.0,0.0,0.0,0.0,0.026716000000000004,0.0,0.0,0.7076669931411743,0.5840310000000001,0.5840310000000001,0.5004770000000001,0.853773
72000,0.0,0.0,0.0,0.0,0.026439,0.0,0.0,0.7083219885826111,0.58348,0.58348,0.4980729999999999,0.853769
100000,0.0002,1.4000000000000001e-05,6e-06,4e-06,0.027236,0.0002,0.0005,0.6921089887619019,0.561909,0.561909,0.477322,0.843831
120000,0.0002,1.4e-05,6e-06,4e-06,0.028144,0.0002,0.0005,0.692520022392273,0.565411,0.565411,0.480762,0.84616
124000,0.0,0.0,0.0,0.0,0.025187,0.0,0.0,0.7013940215110779,0.578659,0.578659,0.496687,0.8502069999999999
128000,0.0,0.0,0.0,0.0,0.027485,0.0,0.0,0.6980100274085999,0.570659,0.570659,0.486994,0.84698
148000,0.0,0.0,0.0,0.0,0.025026,0.0,0.0,0.7117739915847778,0.589598,0.589598,0.50825,0.8549
150000,0.0002,1.4e-05,6e-06,4e-06,0.026154000000000004,0.0002,0.0005,0.7072060108184814,0.583196,0.583196,0.500732,0.852973
160000,0.0002,1.4000000000000001e-05,6e-06,4e-06,0.025578,0.0002,0.0005,0.7060549855232239,0.5807359999999999,0.5807359999999999,0.49924399999999997,0.850966
170000,0.0002,1.4e-05,6e-06,4e-06,0.027564,0.0002,0.0005,0.6969860196113586,0.569409,0.569409,0.486517,0.8473700000000001
180000,0.0002,1.4000000000000001e-05,6e-06,4e-06,0.024706,0.0002,0.0005,0.7215999960899353,0.601626,0.601626,0.5205989999999999,0.8582860000000001
190000,0.0,0.0,0.0,0.0,0.026987,0.0,0.0,0.7142360210418701,0.592145,0.592145,0.5107649999999999,0.855209
200000,0.0002,1.4000000000000001e-05,6e-06,4e-06,0.026348000000000003,0.0002,0.0005,0.712082028388977,0.588457,0.588457,0.504154,0.853901
210000,0.0002,1.4e-05,6e-06,4e-06,0.028421,0.0002,0.0005,0.7065039873123169,0.5836359999999999,0.5836359999999999,0.501229,0.8521690000000001
220000,0.0,0.0,0.0,0.0,0.027555,0.0,0.0,0.7053179740905762,0.582882,0.582882,0.500865,0.8517889999999999
225000,0.0,0.0,0.0,0.0,0.029795,0.0,0.0,0.6965619921684265,0.56787,0.56787,0.4815680000000001,0.8471559999999999
230000,0.0002,1.4000000000000001e-05,6e-06,4e-06,0.028310000000000002,0.0002,0.0005,0.7053930163383484,0.578984,0.578984,0.49486800000000003,0.8508950000000001
240000,0.0004,2e-05,7.000000000000003e-06,4e-06,0.026861000000000003,0.0004,0.001,0.7030609846115112,0.5806600000000001,0.5806600000000001,0.497575,0.8504309999999999
250000,0.0,0.0,0.0,0.0,0.028207999999999997,0.0,0.0,0.7024700045585632,0.5750810000000001,0.5750810000000001,0.49144799999999994,0.8481629999999999
260000,0.0,0.0,0.0,0.0,0.027909,0.0,0.0,0.7020440101623535,0.574384,0.574384,0.489525,0.848405
270000,0.0,0.0,0.0,0.0,0.027277999999999997,0.0,0.0,0.7120109796524048,0.5883510000000001,0.5883510000000001,0.503821,0.853527
280000,0.0002,1.4e-05,6e-06,4e-06,0.029179000000000007,0.0002,0.0005,0.7118039727210999,0.585803,0.585803,0.501753,0.853239
290000,0.0,0.0,0.0,0.0,0.027011,0.0,0.0,0.7124879956245422,0.59059,0.59059,0.5096470000000001,0.8544219999999999
300000,0.0,0.0,0.0,0.0,0.027962,0.0,0.0,0.713653028011322,0.591635,0.591635,0.509213,0.855283
305000,0.0,0.0,0.0,0.0,0.028260000000000007,0.0,0.0,0.7056220173835754,0.579549,0.579549,0.495366,0.8501139999999999
310000,0.0,0.0,0.0,0.0,0.028316,0.0,0.0,0.7012779712677002,0.5756560000000001,0.5756560000000001,0.49359,0.847719
315000,0.0,0.0,0.0,0.0,0.028943,0.0,0.0,0.7188389897346497,0.595731,0.595731,0.512987,0.8568030000000001
320000,0.0,0.0,0.0,0.0,0.028705,0.0,0.0,0.708594024181366,0.584437,0.584437,0.499466,0.853274
325000,0.0,0.0,0.0,0.0,0.030438,0.0,0.0,0.7035130262374878,0.577641,0.577641,0.493051,0.8494879999999999
330000,0.0,0.0,0.0,0.0,0.030346,0.0,0.0,0.6961280107498169,0.570103,0.570103,0.486242,0.8478959999999999
335000,0.0,0.0,0.0,0.0,0.02998,0.0,0.0,0.7056509852409363,0.581242,0.581242,0.49796,0.8504209999999999
340000,0.0,0.0,0.0,0.0,0.029147000000000006,0.0,0.0,0.7162280082702637,0.594754,0.594754,0.512066,0.855613
345000,0.0,0.0,0.0,0.0,0.031097000000000007,0.0,0.0,0.6988400220870972,0.572276,0.572276,0.489408,0.847025
350000,0.0,0.0,0.0,0.0,0.030459,0.0,0.0,0.7020260095596313,0.5746180000000001,0.5746180000000001,0.490226,0.848031
355000,0.0,0.0,0.0,0.0,0.031372000000000004,0.0,0.0,0.7119349837303162,0.589695,0.589695,0.505907,0.855984
360000,0.0,0.0,0.0,0.0,0.030717,0.0,0.0,0.6992470026016235,0.5719810000000001,0.5719810000000001,0.486746,0.8472790000000001
365000,0.0,0.0,0.0,0.0,0.029643,0.0,0.0,0.697646975517273,0.572717,0.572717,0.490249,0.8467469999999999
370000,0.0,0.0,0.0,0.0,0.028748,0.0,0.0,0.7123950123786926,0.59331,0.59331,0.514171,0.855286
